"berichtsjahr";"tourismusjahr";"saison";"monat";"gkz";"gemeinde";"hauptgliederung";"status";"ankuenfte";"naechtigungen"
1989;1989;"Sommer";9;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";367;3171
1989;1989;"Sommer";9;80101;"Bartholomäberg";"Privatquartiere";"endgültig";552;5285
1989;1989;"Sommer";9;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";71;678
1989;1989;"Sommer";10;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";250;1593
1989;1989;"Sommer";10;80101;"Bartholomäberg";"Privatquartiere";"endgültig";268;2014
1989;1989;"Sommer";10;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";12;87
1989;1990;"Winter";11;80101;"Bartholomäberg";"Privatquartiere";"endgültig";35;389
1989;1990;"Winter";11;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";29;207
1989;1990;"Winter";12;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";191;1161
1989;1990;"Winter";12;80101;"Bartholomäberg";"Privatquartiere";"endgültig";620;3453
1989;1990;"Winter";12;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";15;225
1990;1990;"Winter";1;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";306;1977
1990;1990;"Winter";1;80101;"Bartholomäberg";"Privatquartiere";"endgültig";429;3948
1990;1990;"Winter";1;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";72;784
1990;1990;"Winter";2;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";427;2677
1990;1990;"Winter";2;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1340;7788
1990;1990;"Winter";2;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";90;1089
1990;1990;"Winter";3;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";443;2905
1990;1990;"Winter";3;80101;"Bartholomäberg";"Privatquartiere";"endgültig";958;7117
1990;1990;"Winter";3;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";139;1639
1990;1990;"Winter";4;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";256;1347
1990;1990;"Winter";4;80101;"Bartholomäberg";"Privatquartiere";"endgültig";465;3330
1990;1990;"Winter";4;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";128;1340
1990;1990;"Sommer";5;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";123;485
1990;1990;"Sommer";5;80101;"Bartholomäberg";"Privatquartiere";"endgültig";249;1548
1990;1990;"Sommer";5;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";22;282
1990;1990;"Sommer";6;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";335;1932
1990;1990;"Sommer";6;80101;"Bartholomäberg";"Privatquartiere";"endgültig";439;3347
1990;1990;"Sommer";6;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";63;260
1990;1990;"Sommer";7;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";464;3203
1990;1990;"Sommer";7;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1125;10629
1990;1990;"Sommer";7;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";213;1206
1990;1990;"Sommer";8;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";489;3585
1990;1990;"Sommer";8;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1229;13997
1990;1990;"Sommer";8;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";294;2681
1990;1990;"Sommer";9;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";388;3009
1990;1990;"Sommer";9;80101;"Bartholomäberg";"Privatquartiere";"endgültig";606;5945
1990;1990;"Sommer";9;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";78;886
1990;1990;"Sommer";10;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";242;1811
1990;1990;"Sommer";10;80101;"Bartholomäberg";"Privatquartiere";"endgültig";283;2088
1990;1990;"Sommer";10;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";10;132
1990;1991;"Winter";11;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";23;118
1990;1991;"Winter";11;80101;"Bartholomäberg";"Privatquartiere";"endgültig";72;426
1990;1991;"Winter";11;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";25;163
1990;1991;"Winter";12;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";203;1180
1990;1991;"Winter";12;80101;"Bartholomäberg";"Privatquartiere";"endgültig";684;3714
1990;1991;"Winter";12;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";119;1118
1991;1991;"Winter";1;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";373;1856
1991;1991;"Winter";1;80101;"Bartholomäberg";"Privatquartiere";"endgültig";665;5371
1991;1991;"Winter";1;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";42;606
1991;1991;"Winter";2;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";442;2657
1991;1991;"Winter";2;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1724;9655
1991;1991;"Winter";2;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";88;839
1991;1991;"Winter";3;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";678;4080
1991;1991;"Winter";3;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1549;9115
1991;1991;"Winter";3;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";144;1010
1991;1991;"Winter";4;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";282;1374
1991;1991;"Winter";4;80101;"Bartholomäberg";"Privatquartiere";"endgültig";250;2885
1991;1991;"Winter";4;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";82;1345
1991;1991;"Sommer";5;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";305;1369
1991;1991;"Sommer";5;80101;"Bartholomäberg";"Privatquartiere";"endgültig";347;2065
1991;1991;"Sommer";5;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";30;450
1991;1991;"Sommer";6;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";191;1029
1991;1991;"Sommer";6;80101;"Bartholomäberg";"Privatquartiere";"endgültig";466;3842
1991;1991;"Sommer";6;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";67;402
1991;1991;"Sommer";7;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";493;3619
1991;1991;"Sommer";7;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1420;13590
1991;1991;"Sommer";7;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";256;2164
1991;1991;"Sommer";8;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";423;3223
1991;1991;"Sommer";8;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1477;15358
1991;1991;"Sommer";8;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";293;2491
1991;1991;"Sommer";9;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";424;3450
1991;1991;"Sommer";9;80101;"Bartholomäberg";"Privatquartiere";"endgültig";719;7095
1991;1991;"Sommer";9;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";78;577
1991;1991;"Sommer";10;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";224;1725
1991;1991;"Sommer";10;80101;"Bartholomäberg";"Privatquartiere";"endgültig";376;2412
1991;1991;"Sommer";10;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";33;240
1991;1992;"Winter";11;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";28;45
1991;1992;"Winter";11;80101;"Bartholomäberg";"Privatquartiere";"endgültig";40;371
1991;1992;"Winter";12;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";256;1494
1991;1992;"Winter";12;80101;"Bartholomäberg";"Privatquartiere";"endgültig";753;4296
1991;1992;"Winter";12;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";97;814
1992;1992;"Winter";1;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";411;2344
1992;1992;"Winter";1;80101;"Bartholomäberg";"Privatquartiere";"endgültig";693;5610
1992;1992;"Winter";1;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";88;960
1992;1992;"Winter";2;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";657;3276
1992;1992;"Winter";2;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1727;8294
1992;1992;"Winter";2;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";79;854
1992;1992;"Winter";3;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";355;2763
1992;1992;"Winter";3;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1110;8370
1992;1992;"Winter";3;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";109;1337
1992;1992;"Winter";4;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";191;1014
1992;1992;"Winter";4;80101;"Bartholomäberg";"Privatquartiere";"endgültig";401;2665
1992;1992;"Winter";4;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";124;1433
1992;1992;"Sommer";5;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";94;544
1992;1992;"Sommer";5;80101;"Bartholomäberg";"Privatquartiere";"endgültig";228;1456
1992;1992;"Sommer";5;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";8;120
1992;1992;"Sommer";6;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";383;1937
1992;1992;"Sommer";6;80101;"Bartholomäberg";"Privatquartiere";"endgültig";479;3228
1992;1992;"Sommer";6;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";82;359
1992;1992;"Sommer";7;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";433;3718
